config,n_free,N,num_points,L,run,seed,train_data_seed,test_data_seed,test_rel_error,test_abs_error,test_loss,train_loss,epochs_run,stopping_reason,train_time
mu,1,16,10,3,6,106,206,306,0.0034820921123027804,0.005587972044944763,5.509201856330037e-05,4.950526090397034e-06,2000,max_epochs,2.621793487982359
mu,1,16,10,4,0,100,200,300,0.004449922859668731,0.010034104883670807,0.0001847586017102003,4.523103598330636e-06,2000,max_epochs,2.583792073011864
mu,1,16,10,4,1,101,201,301,0.002883795827627182,0.005008768916130066,4.5402525924146176e-05,2.247012844236451e-06,2000,max_epochs,2.480886206001742
mu,1,16,10,4,2,102,202,302,0.0029588730931282043,0.004351410508155823,4.8785162158310415e-05,4.5439896894095e-06,2000,max_epochs,2.47422055300558
mu,1,16,10,4,3,103,203,303,0.003103614866733551,0.004838050544261932,4.525770619511604e-05,6.611218850594014e-06,2000,max_epochs,2.4792027999938
mu,1,16,10,4,4,104,204,304,0.014464811563491822,0.025026046991348267,0.0007091395333409309,0.002154621295630932,2000,max_epochs,2.4755520049948245
mu,1,16,10,4,5,105,205,305,0.002650631994009018,0.004134285420179367,3.534706914797425e-05,3.087311142735416e-06,2000,max_epochs,2.4759712170052808
mu,1,16,10,4,6,106,206,306,0.05790397548675537,0.11441457748413086,0.013955228686332703,0.01664588786661625,2000,max_epochs,2.4897917170019355
mu,1,16,10,8,0,100,200,300,0.00408295202255249,0.00895974063873291,0.00013415639381855727,6.573478003701894e-06,2000,max_epochs,2.487098393990891
mu,1,16,10,8,1,101,201,301,0.0030096098184585573,0.005159536063671112,4.906702972948551e-05,2.303890596522251e-06,2000,max_epochs,2.4793665379984304
mu,1,16,10,8,2,102,202,302,0.002051870495080948,0.003479640334844589,2.1559680346399546e-05,4.425413862918504e-06,2000,max_epochs,2.48029118400882
mu,1,16,10,8,3,103,203,303,0.009650590538978576,0.017327122688293457,0.00033538639545440676,0.00021510418446268886,2000,max_epochs,2.4788976660056505
mu,1,16,10,8,4,104,204,304,0.0052823079228401185,0.006990226686000824,0.00015400371327996254,1.2600398804352153e-05,2000,max_epochs,2.481294983008411
mu,1,16,10,8,5,105,205,305,0.0025608006715774536,0.004115587294101715,3.2131379703059794e-05,3.0796363716945052e-06,2000,max_epochs,2.4904198279837146
mu,1,16,10,8,6,106,206,306,0.003453884094953537,0.00536565375328064,5.5042105726897715e-05,3.3785852338041877e-06,2000,max_epochs,2.4870876299974043
mu,1,16,100,1,0,100,200,300,0.0801602258682251,0.16132515144348145,0.028289154767990113,0.024553591385483742,2000,max_epochs,2.597865207993891
mu,1,16,100,1,1,101,201,301,0.0479019455909729,0.09609832859039306,0.009952438473701477,0.008149882778525352,2000,max_epochs,2.639323234994663
mu,1,16,100,1,2,102,202,302,0.0019261560440063477,0.0032530169785022736,1.8928949953988196e-05,1.0179339369642548e-05,2000,max_epochs,2.6342325050209183
mu,1,16,100,1,3,103,203,303,0.043451831340789795,0.08682062721252441,0.008074997365474701,0.01444998662918806,2000,max_epochs,2.643385679984931
mu,1,16,100,1,4,104,204,304,0.001858239382505417,0.003147879064083099,1.760445418767631e-05,1.2918298125441652e-05,2000,max_epochs,2.6338481179845985
mu,1,16,100,1,5,105,205,305,0.002029643893241882,0.003326726287603378,1.9648767309263347e-05,1.4523216123052407e-05,2000,max_epochs,2.639112989010755
mu,1,16,100,1,6,106,206,306,0.0019205830097198486,0.0032356748282909393,1.830498001072556e-05,1.6965259419521317e-05,2000,max_epochs,2.636292806972051
