skew_weight,d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
0.0,3,1024,3,1,0.0004152000720302264,0.0007317870855331421,9.830212729866617e-07,5086,stopping_threshold
0.0,3,1024,3,2,0.0003431230758627256,0.0006773894429206849,9.855775865617033e-07,8048,stopping_threshold
0.0,3,1024,4,0,0.0005304907038807869,0.0008835658629735311,9.962010608433046e-07,5968,stopping_threshold
0.0,3,1024,4,1,0.0004656236469745636,0.0008408910632133484,9.8441477985034e-07,9050,stopping_threshold
0.0,3,1024,4,2,0.00040503566960493724,0.000786674439907074,9.94568727492151e-07,7469,stopping_threshold
0.0,3,1024,8,0,0.0004371805985768636,0.0007645075917243957,9.493771672168805e-07,8198,stopping_threshold
0.0,3,1024,8,1,0.0005081892187396686,0.0008994503617286682,9.879546641968773e-07,11116,stopping_threshold
0.0,3,1024,8,2,0.0044564675092697145,0.008460746725400288,6.906733667710795e-05,15000,max_epochs
0.04,3,64,1,0,0.014731545368830362,0.02571264600753784,0.0008778985003009439,15000,max_epochs
0.04,3,64,1,1,0.01465362842877706,0.026621790250142417,0.0010149172954261303,15000,max_epochs
0.04,3,64,1,2,0.014189175049463909,0.025158217906951906,0.0008870050883851945,15000,max_epochs
0.04,3,64,2,0,0.010962554057439169,0.018977736155192056,0.0004015122673008591,15000,max_epochs
0.04,3,64,2,1,0.01368537712097168,0.024686749617258707,0.000760146061424166,15000,max_epochs
0.04,3,64,2,2,0.01351156242688497,0.023910992304484048,0.0006295788288116455,15000,max_epochs
0.04,3,64,3,0,0.0108693794409434,0.018208866914113362,0.00025931243668310346,15000,max_epochs
0.04,3,64,3,1,0.01023214848836263,0.018704277753829955,0.00023491804499644787,15000,max_epochs
0.04,3,64,3,2,0.011224468946456909,0.018338024059931436,0.00022677564562764019,15000,max_epochs
0.04,3,64,4,0,0.007317147413889567,0.01154801885286967,9.513339085970074e-05,15000,max_epochs
0.04,3,64,4,1,0.008875781536102295,0.016619061787923176,0.0003436107714660466,15000,max_epochs
0.04,3,64,4,2,0.008579749663670857,0.014661600271860758,0.0002347896504215896,15000,max_epochs
0.04,3,64,8,0,0.004946414510409038,0.008653200149536133,0.00010029139328980818,15000,max_epochs
0.04,3,64,8,1,0.005287347793579101,0.009544362346331279,3.344895478221588e-05,15000,max_epochs
0.04,3,64,8,2,0.006320294499397278,0.011647694269816081,6.095218990230933e-05,15000,max_epochs
0.04,3,128,1,0,0.014497081438700357,0.026991563002268473,0.0008780956068076193,15000,max_epochs
0.04,3,128,1,1,0.0153121337890625,0.028003645420074462,0.000936581214889884,15000,max_epochs
0.04,3,128,1,2,0.014181001583735147,0.025470061461130778,0.0008454912952147424,15000,max_epochs
0.04,3,128,2,0,0.010535744905471801,0.01837136697769165,0.0003627883130684495,15000,max_epochs
0.04,3,128,2,1,0.011480995019276937,0.020515716473261517,0.0005113732893951237,15000,max_epochs
0.04,3,128,2,2,0.011696976979573568,0.021189390023549397,0.0004808370019309223,15000,max_epochs
