config,d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
mu+sig+eps,3,128,3,1,0.0005029687285423,0.0008888273835182,9.96171240331023e-07,7191,stopping_threshold
mu+sig+eps,3,128,3,2,0.0004824038520455,0.0008485148747762,9.82104024842556e-07,6942,stopping_threshold
mu+sig+eps,3,128,4,0,0.0013510543406009,0.0025927706162134,3.483368633897044e-05,8000,max_epochs
mu+sig+eps,3,128,4,1,0.000580013329784,0.0010310074885686,8.604144336459285e-07,6959,stopping_threshold
mu+sig+eps,3,128,4,2,0.0037711881399154,0.0073753357330958,4.213851955137216e-05,8000,max_epochs
mu+sig+eps,3,128,8,0,0.005021032889684,0.0096036089261372,6.021220941329375e-05,8000,max_epochs
mu+sig+eps,3,128,8,1,0.0004506472473343,0.0008147248228391,9.560357375448802e-07,5518,stopping_threshold
mu+sig+eps,3,128,8,2,0.000429259729882,0.000811667283376,9.746569007802464e-07,7601,stopping_threshold
mu+sig+eps,3,1024,0,0,0.3135074030558268,0.5311030578613282,0.397360720872879,8000,max_epochs
mu+sig+eps,3,1024,0,1,0.3148342755635579,0.5371409708658854,0.3873495643138885,8000,max_epochs
mu+sig+eps,3,1024,0,2,0.3164064852396647,0.5319901580810547,0.3802964091300964,8000,max_epochs
mu+sig+eps,3,1024,1,0,0.006455176671346,0.0120365761915842,0.0002287353035062,8000,max_epochs
mu+sig+eps,3,1024,1,1,0.0062271380821863,0.0110507033665974,0.0001491739036282,8000,max_epochs
mu+sig+eps,3,1024,1,2,0.006914219379425,0.012340252161026,0.0001906702799024,8000,max_epochs
mu+sig+eps,3,1024,2,0,0.0004715059871474,0.0008544043302536,9.403483873029472e-07,6799,stopping_threshold
mu+sig+eps,3,1024,2,1,0.0005081015999118,0.0008453016877174,9.447609054404892e-07,5894,stopping_threshold
mu+sig+eps,3,1024,2,2,0.0023635517557462,0.0044561552206675,8.097019053820986e-06,8000,max_epochs
mu+sig+eps,3,1024,3,0,0.0005570327093203,0.0010102292100588,9.745926017785678e-07,7081,stopping_threshold
mu+sig+eps,3,1024,3,1,0.0009298901210228,0.0017578381896018,4.294462425605161e-05,8000,max_epochs
mu+sig+eps,3,1024,3,2,0.0005834731186429,0.0010256264011065,9.479811114943004e-07,6317,stopping_threshold
mu+sig+eps,3,1024,4,0,0.0050404797792434,0.0104887819290161,0.0001131326491013,8000,max_epochs
mu+sig+eps,3,1024,4,1,0.0005422292873263,0.0010004287362098,9.843335037658109e-07,5425,stopping_threshold
mu+sig+eps,3,1024,4,2,0.0004271912922461,0.0008096383213996,9.995145428547405e-07,5654,stopping_threshold
mu+sig+eps,3,1024,8,0,0.0039286655386288,0.0071441015005111,1.4715487748617308e-05,8000,max_epochs
mu+sig+eps,3,1024,8,1,0.0003986574870844,0.000740602393945,9.702831894173869e-07,7801,stopping_threshold
mu+sig+eps,3,1024,8,2,0.0004071015094717,0.0007619711160659,9.417177188879578e-07,6963,stopping_threshold
